EIN,NAME,STATE,NTEE_GROUP,NTEE_CD,WEBSITE
94-2420501,INSTITUTE FOR BETTER HEALTH INC,CA,F,F00P,www.ibh.com
45-5475974,KIDS CANCER FUND,CA,G,G30,www.kidscancerfund.org
64-0679236,DREAM OF HATTIESBURG INC,MS,F,F21Z,dreamofhattiesburg.org
61-1754117,RECREATION CENTERS OF SUN CITY INC,AZ,G,G039,vintagevehiclesofsuncity.com
16-1432781,NEW YORK STATE DARE OFFICERS ASSOCIATION,NY,F,F21,www.nysdoa.com
52-1354370,CONCERNS OF POLICE SURVIVORS,MO,I,I60I,www.concernsofpolicesurvivors.org
73-0583936,OSTEOPATHIC FOUNDERS FOUNDATION,OK,G,G030,www.osteopathicfounders.org
81-4277001,DIDA ACADEMY INC,NY,B,B28,www.didaacademy.org
45-2613422,ALIVE AT LAST,TX,I,I70,www.aliveatlast.org
68-0299245,CASA EL DORADO,CA,I,I72Z,www.casaeldorado.org
51-0519629,ASCENSIONS COMMUNITY SERVICES INC,DC,F,F30,www.2ascend.org
20-3808095,BOWLING GREEN CHRISTIAN ACADEMY,OH,B,B24,www.bgchristian.org
82-5231656,SHELBURN POLICE RESERVE ASSOCIATION CORP,IN,I,I20,www.spdreserveassociation.org
47-0378980,ALUMNI ASSOCIATION UNIVERSITY OF NEBRASKA,NE,B,B83,www.huskeralum.org
84-2888375,FUND FOR SOCIAL IMPACT,AR,R,R40,www.wokevote.us
20-8896901,FRANCIS MARION MILITARY ACADEMY INC,FL,B,B25,www.marionmilitaryacademy.org
13-3746997,NEW YORK GRACIE SQUARE HOSPITAL INC,NY,F,F31Z,www.nygsh.org
56-1735937,GOVERNORS INSTITUTE ON SUBSTANCE ABUSE,NC,F,F20M,governorsinstitute.org
26-3883365,MENTAL HEALTH PROVIDERS ASSOCIATION OF MINNESOTA,MN,F,F033,www.mhpam.org
91-1085780,PUYALLUP PTA COUNCIL 5 7,WA,B,B94,www.ppcpta.com
46-3749890,ALD CONNECT INC,MA,G,G80,www.aldconnect.org
82-2769679,TOTAL WOMAN EMPOWERMENT LIFE COACHING INC,CA,I,I40,www.twelc.org
46-4673215,BARBARA A COLAMECO CANCER TRANSPORTATION FUND INC,NJ,G,G30,baccancerfund.org
47-0914736,INSTITUTE OF NEUROMORPHIC ENGINEERING FOUNDATION INC,MD,H,H01,www.ine-web.org
84-1817663,HEALTHY MINDS,UT,F,F30,www.healthymindsofutah.org
23-7229899,NORMAN ALCOHOL INFORMATION CENTER INC,OK,F,F200,www.thevirtuecenter.org
26-1184419,TRANSFORMATIONS AUTISM TREATMENT CENTER INC,TN,B,B28,www.transformingautism.com
81-2973049,IRISE LEADERSHIP INSTITUTE INC,PA,F,F80,iriseleadership.com
81-3933744,EXPLORER PTO,TX,B,B94,www.explorerpto.com
91-1471384,EASTSIDE LEGAL ASSISTANCE PROGRAM,WA,I,I80Z,www.elap.org
81-3220854,BEHR DOWN FOUNDATION,SC,G,G25,thebehrdownfoundation.org
47-1421039,TRAUMATIC BRAIN INJURY RESOURCE CENTER,OH,F,F60,tbirc.org
68-0359707,ONE MIND INSTITUTE,CA,F,F123,www.onemind.org
80-0777581,HEALTHY BRAINS GLOBAL INITIATIVE INC,CA,H,H11,www.onemind.org
81-1661538,FOUNDATION FOR RESEARCH AND EDUCATION IN MINIMALLY INVASIVE SP,CA,H,H9B,infospine.net
52-1059820,MARCH FOR LIFE,DC,R,R62,www.marchforlife.org
52-1231772,MARCH FOR LIFE EDUCATION AND DEFENSE FUND,DC,R,R62Z,www.marchforlife.org
16-6053649,CAMPUS CLUB OF CORNELL UNIVERSITY,NY,B,B83,blogs.cornell.edu
47-5490675,MID-ATLANTIC RETAIL CRIME ALLIANCE,VA,I,I01,www.maorca.org
26-3388390,OTTAWA POLICE FOUNDATION,KS,I,I60,ottawapf.org
82-4943049,WISCONSIN OPPORTUNITY COALITION INC,WI,R,R99,wisconsinopportunitycoalition.com
82-5237233,TOUGH STARS GIVE BACK,TX,G,G12,www.toughstarsgiveback.com
45-3444833,MATTHEW J WALSH FOUNDATION INC,MA,H,H30,mjwfoundation.org
83-2517007,STEP2RECOVERY,MA,F,F21,www.step2recovery.org
33-1158941,ABUNDANT LIVING FOR ALL FOUNDATION,IL,F,F70,www.alfafoundation.info
47-1702880,PEORIA COMMUNITY AGAINST VIOLENCE,IL,I,I20,www.peoriacommunityagainstviolence.org
